Order ID,Date,Product,Category,Price,Quantity,Total Sales,Customer Name,Customer Location,Payment Method,Status
ORD0159,09-02-25,Refrigerator,Home Appliances,1143,3,3429,Michael Wilson,Los Angeles,Credit Card,Completed
ORD0160,28-02-25,Smartphone,Electronics,497,5,2485,Chris Anderson,Chicago,Credit Card,Completed
ORD0161,18-04-25,Washing Machine,Home Appliances,616,4,2464,Emma Harris,Dallas,Amazon Pay,Pending
ORD0162,16-02-25,Headphones,Electronics,101,2,202,Mia Clark,Houston,PayPal,Pending
ORD0163,29-04-25,Washing Machine,Home Appliances,580,1,580,Chris Brown,Miami,PayPal,Completed
ORD0164,15-02-25,Running Shoes,Footwear,62,2,124,Daniel Clark,San Francisco,Credit Card,Completed
ORD0165,04-03-25,Refrigerator,Home Appliances,1187,1,1187,Isabella Brown,Los Angeles,Gift Card,Cancelled
ORD0166,30-03-25,Jeans,Clothing,42,3,126,Sophia Anderson,Denver,Debit Card,Pending
ORD0167,18-04-25,Jeans,Clothing,38,1,38,Michael Taylor,Seattle,Gift Card,Completed
ORD0168,22-03-25,Jeans,Clothing,41,2,82,Ava Garcia,Seattle,Gift Card,Completed
ORD0169,16-04-25,Refrigerator,Home Appliances,1180,1,1180,Isabella Martinez,Seattle,Amazon Pay,Cancelled
ORD0170,27-02-25,T-Shirt,Clothing,20,1,20,Mia White,Houston,PayPal,Completed
ORD0171,06-03-25,Smartphone,Electronics,493,1,493,John Johnson,Chicago,Debit Card,Completed
ORD0172,01-02-25,Book,Books,15,5,75,Daniel Garcia,San Francisco,Amazon Pay,Pending
ORD0173,21-03-25,Jeans,Clothing,40,1,40,Emma Taylor,Denver,Credit Card,Completed
ORD0174,14-04-25,Laptop,Electronics,786,4,3144,Olivia Miller,Houston,Credit Card,Cancelled
ORD0175,15-03-25,Book,Books,15,4,60,Noah Taylor,Denver,PayPal,Completed
ORD0176,27-02-25,Smartwatch,Electronics,151,2,302,Daniel Garcia,Houston,Amazon Pay,Completed
ORD0177,13-04-25,Book,Books,15,4,60,Daniel Anderson,Los Angeles,Gift Card,Cancelled
ORD0178,12-03-25,Refrigerator,Home Appliances,1215,1,1215,Alex Doe,Los Angeles,Gift Card,Completed
ORD0179,26-03-25,T-Shirt,Clothing,20,3,60,Ethan Smith,Houston,Debit Card,Completed
ORD0180,06-04-25,Running Shoes,Footwear,61,4,244,Noah Garcia,Seattle,Amazon Pay,Completed
ORD0181,13-04-25,Book,Books,14,3,42,Olivia Harris,Los Angeles,Debit Card,Completed
ORD0182,25-04-25,Smartwatch,Electronics,157,1,157,Emily Garcia,Dallas,Amazon Pay,Completed
ORD0183,21-03-25,Smartwatch,Electronics,153,1,153,Alex Garcia,Chicago,Credit Card,Pending
ORD0184,20-04-25,Smartphone,Electronics,476,1,476,Jane Brown,Houston,Debit Card,Completed
ORD0185,07-03-25,Washing Machine,Home Appliances,588,1,588,Lucas Lee,New York,Gift Card,Completed
ORD0186,05-02-25,Running Shoes,Footwear,62,5,310,Alex Smith,San Francisco,Credit Card,Cancelled
ORD0187,08-02-25,Jeans,Clothing,40,5,200,Sophia Smith,Los Angeles,Gift Card,Completed
ORD0188,07-03-25,T-Shirt,Clothing,20,1,20,Michael Smith,Seattle,Debit Card,Pending
ORD0189,05-03-25,Washing Machine,Home Appliances,587,1,587,Emma Martinez,Chicago,Gift Card,Completed
ORD0190,01-02-25,Headphones,Electronics,99,4,396,Chris Brown,Boston,Debit Card,Pending
ORD0191,17-03-25,T-Shirt,Clothing,21,1,21,Daniel Brown,Dallas,Credit Card,Completed
ORD0192,26-04-25,T-Shirt,Clothing,19,2,38,Daniel White,San Francisco,Credit Card,Pending
ORD0193,06-03-25,Smartphone,Electronics,480,3,1440,Daniel Johnson,New York,PayPal,Completed
ORD0194,25-02-25,Refrigerator,Home Appliances,1247,2,2494,Mia Brown,Dallas,PayPal,Completed
ORD0195,23-02-25,Refrigerator,Home Appliances,1215,2,2430,Daniel Anderson,Dallas,Credit Card,Pending
ORD0196,06-03-25,T-Shirt,Clothing,20,1,20,Daniel Anderson,Chicago,Amazon Pay,Completed
ORD0197,19-04-25,Laptop,Electronics,768,2,1536,Michael Taylor,Seattle,Amazon Pay,Pending
ORD0198,14-04-25,Book,Books,16,2,32,Sophia White,Denver,Credit Card,Cancelled
ORD0199,22-04-25,Refrigerator,Home Appliances,1194,2,2388,Emily Wilson,Seattle,Gift Card,Completed
ORD0200,12-02-25,Laptop,Electronics,831,2,1662,Liam Garcia,Denver,PayPal,Pending
ORD0201,19-04-25,Refrigerator,Home Appliances,1230,2,2460,Daniel Johnson,Los Angeles,PayPal,Completed
ORD0202,22-03-25,Laptop,Electronics,795,2,1590,Lucas Johnson,Chicago,Amazon Pay,Completed
ORD0203,07-03-25,T-Shirt,Clothing,21,5,105,Olivia Johnson,San Francisco,PayPal,Completed
ORD0204,07-02-25,Book,Books,14,1,14,Isabella Garcia,Miami,Gift Card,Completed
ORD0205,04-03-25,Book,Books,15,4,60,Olivia Martinez,Houston,Gift Card,Pending
ORD0206,08-02-25,Smartphone,Electronics,503,4,2012,David Doe,Chicago,Amazon Pay,Completed
ORD0207,17-04-25,Jeans,Clothing,38,3,114,Chris White,Houston,Amazon Pay,Pending
ORD0208,08-03-25,Running Shoes,Footwear,62,3,186,Isabella Brown,Houston,Credit Card,Completed
ORD0209,01-03-25,Headphones,Electronics,105,3,315,Noah Taylor,Dallas,Debit Card,Completed
ORD0210,29-03-25,Headphones,Electronics,104,4,416,Liam Johnson,Boston,Credit Card,Completed
ORD0211,09-04-25,Headphones,Electronics,101,3,303,Isabella Smith,Miami,Debit Card,Pending
ORD0212,17-04-25,T-Shirt,Clothing,19,2,38,Ethan Smith,Los Angeles,Credit Card,Completed
ORD0213,21-02-25,T-Shirt,Clothing,21,5,105,Olivia Garcia,Los Angeles,Credit Card,Completed
ORD0214,21-04-25,Washing Machine,Home Appliances,612,1,612,Daniel Harris,Boston,Credit Card,Completed
ORD0215,24-02-25,Jeans,Clothing,39,5,195,Michael White,New York,PayPal,Completed
ORD0216,13-04-25,Smartphone,Electronics,478,2,956,Daniel Taylor,Dallas,Debit Card,Completed
ORD0217,14-03-25,Refrigerator,Home Appliances,1168,2,2336,David Garcia,Los Angeles,Gift Card,Cancelled
ORD0218,02-04-25,Jeans,Clothing,38,3,114,Emily Lee,Miami,PayPal,Cancelled
ORD0219,19-03-25,Smartwatch,Electronics,151,1,151,David Taylor,Houston,PayPal,Completed
ORD0220,13-02-25,T-Shirt,Clothing,20,2,40,Mia Garcia,Boston,Credit Card,Completed
ORD0221,03-03-25,Washing Machine,Home Appliances,586,1,586,Chris Anderson,New York,Amazon Pay,Pending
ORD0222,22-04-25,Smartphone,Electronics,498,3,1494,Ava Martinez,Los Angeles,PayPal,Completed
ORD0223,13-02-25,Laptop,Electronics,767,4,3068,David Johnson,Houston,Gift Card,Completed
ORD0224,15-04-25,Refrigerator,Home Appliances,1173,2,2346,Olivia Smith,Dallas,Credit Card,Pending
ORD0225,08-02-25,Refrigerator,Home Appliances,1167,1,1167,Olivia Clark,Miami,Debit Card,Completed
ORD0226,18-04-25,Jeans,Clothing,41,2,82,Daniel Anderson,Houston,Credit Card,Cancelled
ORD0227,09-02-25,Book,Books,15,1,15,Sophia Lee,Dallas,PayPal,Completed
ORD0228,17-04-25,T-Shirt,Clothing,21,3,63,Jane Garcia,Dallas,PayPal,Completed
ORD0229,11-03-25,T-Shirt,Clothing,20,1,20,David Doe,Chicago,Amazon Pay,Completed
ORD0230,23-02-25,Laptop,Electronics,840,1,840,Isabella Miller,Chicago,Credit Card,Pending
ORD0231,14-02-25,Smartphone,Electronics,499,5,2495,Chris Anderson,Seattle,Gift Card,Pending
ORD0232,16-02-25,Smartwatch,Electronics,153,5,765,Olivia Anderson,San Francisco,Gift Card,Pending
ORD0233,28-03-25,Jeans,Clothing,40,4,160,John Taylor,Los Angeles,PayPal,Pending
ORD0234,25-03-25,Jeans,Clothing,39,1,39,Ethan Anderson,Chicago,Credit Card,Cancelled
ORD0235,05-03-25,Smartphone,Electronics,487,1,487,Noah White,Dallas,Gift Card,Pending
ORD0236,07-04-25,Headphones,Electronics,96,1,96,Liam Martinez,San Francisco,Debit Card,Completed
ORD0237,03-02-25,Laptop,Electronics,795,1,795,Jane Miller,New York,Credit Card,Cancelled
ORD0238,11-03-25,Laptop,Electronics,831,4,3324,Ava Doe,Los Angeles,Credit Card,Pending
ORD0239,21-04-25,Smartwatch,Electronics,147,1,147,Chris Miller,Denver,Gift Card,Completed
ORD0240,09-02-25,Refrigerator,Home Appliances,1229,3,3687,Isabella Smith,Houston,Debit Card,Completed
ORD0241,09-03-25,Running Shoes,Footwear,62,5,310,Chris Johnson,Los Angeles,Debit Card,Pending
ORD0242,18-03-25,Washing Machine,Home Appliances,594,1,594,Sophia Clark,Dallas,PayPal,Cancelled
ORD0243,28-03-25,Headphones,Electronics,103,1,103,Sophia Johnson,Boston,Credit Card,Pending
ORD0244,03-03-25,Headphones,Electronics,105,1,105,Ethan Brown,Miami,Gift Card,Completed
ORD0245,17-03-25,T-Shirt,Clothing,21,3,63,Ethan Lee,Boston,Debit Card,Completed
ORD0246,26-04-25,Smartwatch,Electronics,153,1,153,Mia Brown,Boston,Credit Card,Pending
ORD0247,22-03-25,Jeans,Clothing,40,1,40,Noah White,Houston,Gift Card,Completed
ORD0248,19-02-25,Jeans,Clothing,41,2,82,Alex Garcia,Miami,Debit Card,Completed
ORD0249,26-03-25,Washing Machine,Home Appliances,585,1,585,Emily Clark,Boston,PayPal,Completed
ORD0250,19-03-25,T-Shirt,Clothing,20,5,100,Jane White,Denver,Credit Card,Completed
ORD0251,09-02-25,T-Shirt,Clothing,20,1,20,Ethan Clark,Los Angeles,Debit Card,Completed
ORD0252,22-03-25,Book,Books,14,2,28,Emily Miller,Houston,Debit Card,Cancelled
ORD0253,23-04-25,Running Shoes,Footwear,59,5,295,Liam Garcia,Los Angeles,Gift Card,Completed
ORD0254,13-03-25,Refrigerator,Home Appliances,1168,3,3504,David Clark,San Francisco,Credit Card,Cancelled
ORD0255,28-02-25,Smartwatch,Electronics,154,2,308,Mia Brown,Seattle,PayPal,Completed
ORD0256,28-03-25,Book,Books,14,5,70,Ava White,Los Angeles,Debit Card,Completed
ORD0257,12-04-25,Refrigerator,Home Appliances,1169,1,1169,Emily Taylor,Dallas,Debit Card,Completed
ORD0258,28-02-25,Refrigerator,Home Appliances,1191,1,1191,Olivia Garcia,Houston,Amazon Pay,Completed
ORD0259,18-03-25,Book,Books,15,5,75,Michael Brown,Boston,Credit Card,Completed
ORD0260,07-04-25,Laptop,Electronics,837,3,2511,Daniel Johnson,New York,Debit Card,Completed
ORD0261,20-02-25,Smartphone,Electronics,519,5,2595,Emma Johnson,Seattle,Debit Card,Completed
ORD0262,09-02-25,Laptop,Electronics,765,2,1530,Alex Wilson,Miami,PayPal,Pending
ORD0263,03-03-25,Book,Books,15,3,45,Michael Brown,Houston,Debit Card,Cancelled
ORD0264,03-02-25,Headphones,Electronics,99,1,99,Daniel Smith,New York,Amazon Pay,Cancelled
ORD0265,08-03-25,Smartphone,Electronics,480,2,960,Michael Doe,San Francisco,Gift Card,Pending
ORD0266,22-02-25,Washing Machine,Home Appliances,583,1,583,John Anderson,Chicago,Debit Card,Completed
ORD0267,15-02-25,Laptop,Electronics,786,5,3930,Ethan Doe,Dallas,Credit Card,Pending
